Designator,Mid X,Mid Y,Rotation,Layer
R44,37.4,-96.25,270.0,top
R45,118.1,-96.8875,270.0,top
R46,39.85,-96.2,270.0,top
R47,120.45,-96.9,270.0,top
R48,223.425,-81.675,180.0,top
R49,212.75,-82.8,180.0,top
R5,174.4,-107.3,180.0,top
R50,47.1,-98.75,270.0,top
R51,50.0,-98.75,270.0,top
R52,125.1,-99.5,270.0,top
R53,127.4,-99.5,270.0,top
R54,114.6,-96.1,180.0,top
R55,223.425,-83.95,0.0,top
R56,33.5,-95.5,180.0,top
R57,205.6,-87.575,180.0,top
R58,218.325,-92.45,0.0,top
R59,208.825,-88.525,90.0,top
R6,191.45,-92.8,0.0,top
R60,41.05,-115.5625,270.0,top
R61,41.1,-119.0625,90.0,top
R62,128.1,-116.15,270.0,top
R63,128.15,-119.75,90.0,top
R64,48.78,-113.6,180.0,top
R65,133.95,-113.3,180.0,top
R66,257.9125,-84.1,180.0,top
R67,243.575,-84.175,180.0,top
R68,257.9125,-86.475,0.0,top
R69,236.025,-88.725,180.0,top
R7,261.0,-109.75,270.0,top
R70,248.95,-94.15,0.0,top
R71,239.45,-89.625,90.0,top
R74,77.01,-95.9,270.0,top
R75,154.45,-96.9,270.0,top
R76,79.11,-95.8625,270.0,top
R77,156.85,-96.9,270.0,top
R78,82.86,-98.5,270.0,top
R79,86.26,-98.5,270.0,top
R8,246.576606,-113.605,270.0,top
R80,164.95,-98.3,270.0,top
R81,167.25,-98.3,270.0,top
R82,71.8475,-95.1,180.0,top
R83,148.98375,-96.05,180.0,top
R84,80.77225,-116.3525,270.0,top
R85,167.5,-115.9,270.0,top
R86,80.77225,-120.0,90.0,top
R87,167.5,-119.6,90.0,top
R88,87.37225,-113.85,180.0,top
R89,172.95,-113.7,180.0,top
R9,326.2,-129.35,270.0,top
U10,310.3,-144.775,90.0,top
U11,334.075,-106.85,90.0,top
U15,214.688,-88.215,180.0,top
U16,48.65,-117.45,0.0,top
U17,133.90025,-117.665,0.0,top
U18,245.35,-89.81,180.0,top
U19,87.36025,-117.915,0.0,top
U20,172.8,-118.0,0.0,top
U34,311.775,-96.185,0.0,top
U35,296.95,-96.11,0.0,top
